0,119.49,22.632,154.16,33.947,60.281,77.289,10.768,94.463,131.22,43.732
10,34.981,28.953,12.814,11.774,5.4522,5.0394,2.1408,52.429,8.919,19.816
20,55.763,2.2052,33.516,11.178,8.8629,20.125,15.341,45.578,2.6852,31.31
30,58.103,44.903,5.928,25.738,37.29,35.085,17.5,42.759,14.554,12.201
40,52.29,3.7907,16.664,3.3445,31.026,17.115,10.44,4.9315,60.553,5.8263
50,32.89,19.603,13.614,1.9931,16.85,28.315,0.35287,3.0479,0.045687,25.216
60,13.076,25.283,10.871,28.107,43.849,22.447,16.707,41.576,7.2874,5.3227
70,11.338,11.095,34.875,2.0799,15.991,11.321,17.184,33.407,14.647,17.157
80,11.735,19.425,1.9274,5.9673,40.614,26.88,2.3565,3.7998,13.537,31.112
90,21.366,67.708,27.137,0.72801,48.75,16.533,94.181,47.799,17.351,14.665
100,29.432,87.383,9.395,10.509,17.327,32.285,0.99375,21.758,42.963,7.5743
110,32.146,59.923,23.467,0.59709,1.9155,38.286,2.4923,14.844,55.961,17.8
120,23.633,14.709,18.412,13.642,24.357,44.063,8.4666,57.932,64.87,29.271
130,39.833,10.614,21.247,14.249,24.083,31.303,21.865,45.814,119.26,22.684
140,44.778,22.182,41.288,5.9204,20.917,18.167,5.2214,23.506,41.541,5.4517
150,10.162,4.1038,57.241,12.742,18.309,38.419,22.13,62.678,42.298,33.296
160,42.18,12.527,0.08914,17.809,46.971,40.937,8.4092,13.892,3.9378,5.8252
170,50.493,29.391,40.895,5.7195,32.126,16.252,15.004,8.727,26.217,20.019
180,34.475,114.92,6.7278,28.932,32.486,15.703,3.3301,41.894,0.84732,5.4074
190,58.597,15.992,22.365,35.543,31.525,32.976,6.7801,32.32,20.479,3.1198
200,40.788,4.8205,1.2015,27.576,10.979,12.354,1.9917,56.308,37.021,26.153
210,16.607,66.152,26.636,7.016,28.586,48.039,9.4453,11.042,19.141,32.033
220,6.3072,51.45,10.357,14.269,1.8215,37.275,1.687,1.7635,5.4179,21.559
230,24.714,45.694,25.36,6.6695,59.975,36.572,4.8382,56.869,7.5009,14.762
240,9.1635,30.294,17.375,10.066,2.2294,21.242,7.3303,26.742,5.205,39.76
250,31.13,17.194,3.6507,9.1211,23.987,16.721,10.367,64.679,67.261,8.8219
260,26.9,103.39,56.545,14.43,23.091,21.813,27.417,44.001,15.253,24.555
270,41.954,9.4843,16.533,0.20883,24.634,27.651,9.7219,8.8598,12.741,50.541
280,16.681,33.373,24.063,5.5404,31.173,28.356,12.554,17.534,45.076,9.263
290,22.558,16.291,1.5249,13.387,30.132,15.56,12.623,16.847,53.324,0.54296
300,8.8529,46.809,18.58,20.339,53.909,35.637,16.662,23.176,12.917,1.9484
310,17.702,20.395,30.318,6.4704,24.547,34.803,4.4943,8.4303,1.3057,11.023
320,21.536,3.9777,42.361,47.336,51.702,23.053,8.8545,42.95,56.59,40.017
330,41.203,45.093,33.975,25.429,8.6193,11.782,2.9189,9.9521,80.861,41.688
340,3.9884,12.145,4.1367,33.154,7.1928,27.761,22.61,22.088,7.7054,16.156
350,48.273,5.0999,9.2084,22.728,3.6507,46.839,7.0848,45.456,91.319,7.0357
360,40.413,48.043,18.144,0.41259,31.826,42.427,0.73516,41.16,44.223,11.772
370,84.665,4.8537,4.4748,2.3227,16.386,17.175,0.48939,31.762,29.084,33.191
380,1.664,26.857,34.91,44.022,13.753,47.204,13.669,15.314,27.85,7.6869
390,31.499,15.186,7.7966,10.234,43.714,22.756,24.752,41.652,8.0667,13.759
400,13.972,51.291,33.93,2.1894,17.69,16.648,9.5962,54.541,33.024,11.533
410,22.208,159.79,31.463,11.788,17.1,20.957,7.9527,33.66,73.13,18.394
420,39.534,2.1093,23.645,20.77,23.289,29.621,19.329,21.798,49.998,0.77466
430,33.58,9.2326,17.401,18.311,1.0042,21.802,2.1781,55.454,12.975,4.5706
440,18.409,80.336,20.335,14.091,21.546,18.778,13.559,86.338,173.03,9.1731
450,50.888,50.882,8.9013,8.1143,5.9502,37.565,14.213,70.005,103.4,11.726
460,33.953,16.564,21.912,34.661,9.1373,54.48,0.25171,36.559,12.039,26.336
470,28.057,26.777,14.252,27.556,4.3427,19.915,1.4176,63.363,128.62,22.947
480,66.38,80.814,14.167,26.599,1.9661,55.527,2.0994,73.53,16.384,9.4559
490,15.971,12.209,8.8781,50.477,26.237,14.219,9.6989,36.664,16.841,4.332
500,8.6272,51.069,14.86,20.151,8.0688,71.689,29.122,22.231,84.642,15.751
510,60.234,37.599,23.047,1.9326,15.94,30.178,5.9711,22.741,101.71,16.812
520,22.508,56.169,14.935,23.934,49.381,32.976,13.025,74.699,69.72,50.499
530,39.41,5.0559,13.968,18.496,35.338,33.593,27.967,55.276,82.069,13.007
540,25.745,11.468,3.6207,5.0731,32.81,20.349,29.802,44.114,86.955,18.688
550,8.2949,2.3184,22.644,40.753,8.9047,18.953,9.7924,20.717,79.732,12.26
560,1.6662,25.348,3.1896,35.083,13.367,8.2956,6.9628,61.305,48.216,13.744
570,33.964,33.73,6.1338,47.611,31.54,8.1435,8.4951,34.809,69.461,2.2532
580,22.373,27.582,19.699,16.111,8.5678,38.448,17.666,36.706,50.157,9.3569
590,47.017,61.721,11.122,9.4978,16.727,13.516,21.206,59.783,43.97,4.8696
600,28.158,63.872,17.421,17.547,0.53433,1.1026,1.7878,50.869,71.833,34.529
