0,119.49,22.632,154.16,33.947,60.281,77.289,10.768,94.463,131.22,43.732,164.72,130.41,66.117,48.209,57.764,167.84,136.71,163.08,36.385,40.875,154.21,100.22,172.47,8.6936,99.427,35.199,28.052,76.256,139.47,135.31,73.697,124.21,4.0061,131.19,146.81,6.3015,23.108,131.4,1.4873,34.307,41.748,51.374,148.41,152.08,144.34,165.28,99.996,152.77,95.291,141.23
10,9.4909,19.772,5.3025,1.8456,18.629,0.58705,7.966,7.1844,5.622,15.718,6.9232,16.195,39.033,7.6506,2.5016,16.756,5.2949,0.18689,1.5613,2.5568,4.3449,16.713,4.3037,4.8827,20.869,10.885,3.3025,9.9215,6.8074,15.125,19.308,27.232,14.371,4.5117,20.376,4.724,21.246,50.532,6.9464,6.6183,14.242,1.3233,33.408,15.791,10.191,47.46,32.179,7.0212,11.112,23.023
20,16.313,7.5571,5.3802,5.6807,4.6682,5.2123,11.631,22.87,21.217,13.032,7.5821,14.481,17.254,14.462,3.808,16.555,4.6201,6.2792,7.8344,0.27455,17.213,16.476,1.1306,9.5268,6.407,16.719,1.0043,8.6184,22.304,6.3177,1.3781,24.255,5.1298,4.1217,21.79,4.0596,23.402,36.375,7.6065,22.027,6.6375,16.884,20.431,5.4109,4.7588,23.583,21.313,8.6216,5.8896,16.796
30,6.925,10.813,10.532,21.722,11.037,9.6014,6.1356,5.2784,11.621,10.009,14.879,5.5761,28.124,18.198,15.098,0.17671,18.356,15.858,2.8592,20.798,4.5577,21.397,12.918,2.8204,15.369,21.618,7.3437,15.992,8.0634,10.267,16.759,10.386,3.0771,3.2679,13.483,12.75,6.3403,28.552,0.7017,10.744,9.1337,3.8573,24.797,1.1894,22.521,21.114,18.892,13.953,18.393,0.72299
40,21.214,2.4487,9.6751,22.842,2.7277,14.036,3.7652,4.5115,6.1723,6.0838,1.7654,12.112,32.516,10.434,2.1495,1.2419,5.0124,0.41661,4.7496,15.774,6.9023,15.715,22.224,1.2255,17.512,20.387,1.8066,18.95,8.8002,9.6268,5.7315,15.774,3.7857,16.217,41.867,4.7924,1.4557,43.561,9.314,3.0985,8.8025,10.267,19.011,5.2787,17.514,32.872,21.569,26.536,11.189,22
50,18.036,18.717,6.4879,1.2152,23.664,13.459,6.4806,0.44767,2.5925,4.06,20.354,12.801,23.541,4.4581,14.017,9.0188,4.3579,13.016,2.0646,0.13418,2.5233,9.5921,9.0512,25.343,14.82,4.1772,0.55881,16.933,31.268,10.356,24.077,1.6603,1.4476,0.52362,45.678,5.7417,10.188,16.773,12.328,7.5889,9.5235,17.705,10.962,23.624,0.26692,0.64936,32.575,8.4264,10.928,6.4898
60,2.5621,7.1895,6.4727,20.912,20.591,14.085,12.227,1.4457,6.47,4.6427,4.1504,17.267,22.57,10.612,12.277,11.37,6.0826,39.69,1.3687,9.1957,4.8584,25.881,6.0939,5.4743,14.143,7.4853,3.0844,22.627,16.723,5.1602,15.1,13.914,0.11922,0.55135,13.277,15.102,0.039951,27.041,1.9754,6.6255,26.52,6.9441,10.104,0.24534,11.826,3.0786,19.39,1.9237,14.476,4.321
70,11.449,15.298,4.5231,6.3252,20.905,1.2299,22.647,7.8553,6.1876,31.29,1.0953,4.854,20.678,2.6097,10.264,24.823,5.1507,7.3733,4.1974,10.562,5.0201,26.677,12.242,3.3096,9.5743,24.662,8.2428,18.199,4.2568,9.8436,15.885,18.814,7.591,1.1887,11.245,4.2273,17.701,30.366,0.85534,1.5854,5.8738,3.9424,3.2319,24.953,11.392,33.098,20.966,18.611,18.913,2.1901
80,16.698,6.2622,7.8676,33.345,4.9015,24.951,2.3222,7.2808,20.705,8.758,2.1124,19.497,17.624,6.4743,16.307,29.414,7.8914,2.5176,18.33,0.0059861,1.8686,31.958,0.4207,8.8915,5.6336,40.107,5.8834,23.969,16.815,25.883,2.3278,14.64,0.84648,0.65742,16.705,0.32168,4.8796,4.1112,19.421,16.968,1.0013,4.0149,15.436,8.5162,16.042,17.612,33.638,18.548,11.693,1.2726
90,17.319,6.6123,7.337,17.993,19.929,43.266,7.3164,2.111,5.6627,3.0256,9.7116,5.3989,3.0648,8.2099,4.973,10.014,6.0972,12.662,4.3763,4.5297,0.98041,19.867,2.5263,1.3179,21.16,22.806,7.7853,13.089,3.5025,41.863,9.9052,15.644,11.551,5.1035,1.7835,3.5721,6.3687,46.098,13.781,5.1238,16.121,16.902,7.5077,10.24,16.615,32.579,37.143,9.1821,15.591,6.8668
