t,meanDeltaSlopeD0_0005,stdDeltaSlopeD0_0005,meanDeltaSlopeD0_0005D0_0025,stdDeltaSlopeD0_0005D0_0025,meanDeltaSlopeD0_0005D0_005,stdDeltaSlopeD0_0005D0_005,meanDeltaSlopeD0_0005D0_01,stdDeltaSlopeD0_0005D0_01
1010,-3.31127819548872,1.84884824557802,-10.316992481203,3.85178698636072,-16.8372932330827,2.11988107970986,-18.8390977443609,4.26295464810139
1030,-3.30766917293233,1.92047014467764,-10.4366917293233,3.80166497125468,-16.8751879699248,2.19549925038388,-18.8372932330827,4.16450036888779
1050,-3.51097744360903,1.93291329814073,-10.7224060150376,3.72882008085089,-17.3317293233083,1.81395291026145,-19.1915789473684,3.88031541673721
1070,-3.50616541353384,2.00061362060542,-10.8968421052632,3.97555530946217,-17.5085714285714,2.04417256877824,-19.3960902255639,4.51932777808899
1090,-3.37022556390978,2.00372700643567,-10.7867669172932,3.80270916667317,-17.2198496240601,2.2048060837687,-18.9305263157895,4.36484992869537
1110,-3.45804511278196,1.72988421400048,-10.7669172932331,3.65763858048157,-17.2926315789474,1.97678465312725,-18.9052631578947,3.98374143114578
1130,-3.59097744360902,1.79824699379058,-11.286015037594,3.65874964702312,-17.7966917293233,1.9937045534307,-19.4658646616541,4.14651114961147
1150,-3.77503759398496,1.84809130207218,-11.6499248120301,3.68512008958805,-18.2514285714286,1.94641603945482,-20.0066165413534,4.18117897536208
1170,-3.70586466165414,1.80295661238766,-11.7930827067669,3.39344115061624,-18.4517293233083,1.92406460007784,-19.9777443609023,3.93603217967203
1190,-3.79007518796993,1.86897380499958,-11.9621052631579,3.30793290597412,-18.4547368421053,2.33163639168148,-19.8803007518797,4.22148182077524
1210,-3.90556390977444,1.78985089008973,-11.9013533834586,3.28258114124784,-18.4078195488722,2.18401561556203,-19.824962406015,4.10420966894689
1230,-3.81473684210526,1.92409928324166,-11.9103759398496,3.27331231345601,-18.4210526315789,2.16381125162727,-19.830977443609,4.28715889413919
1250,-3.83518796992481,2.02701749365873,-12.0481203007519,3.4847844575109,-18.3157894736842,2.20938370892518,-19.618045112782,4.55198807925137
1270,-4.14135338345865,2.02425900329204,-12.409022556391,3.59635314502679,-18.8944360902256,2.61882852628952,-20.0360902255639,5.04719921199406
1290,-4.22075187969925,2.12670886227009,-12.5227067669173,3.5801343973377,-19.0646616541353,2.59457492110698,-19.8772932330827,4.84812212499784
1310,-4.40661654135338,2.08471210485938,-12.5371428571429,3.62587549385009,-19.0111278195489,2.85726765765336,-19.5657142857143,4.7423804887335
1330,-4.34887218045113,2.2459434058487,-12.3699248120301,3.50985590130662,-19.0087218045113,3.04921182491251,-19.5097744360902,5.07403292651748
