0,119.49,22.632,154.16,33.947,60.281,77.289,10.768,94.463,131.22,43.732,164.72,130.41,66.117,48.209,57.764,167.84,136.71,163.08,36.385,40.875,154.21,100.22,172.47,8.6936,99.427,35.199,28.052,76.256,139.47,135.31,73.697,124.21,4.0061,131.19,146.81,6.3015,23.108,131.4,1.4873,34.307,41.748,51.374,148.41,152.08,144.34,165.28,99.996,152.77,95.291,141.23
10,103.14,15.664,2.8237,26.118,39.987,50.087,6.0214,62.408,10.272,28.981,134.06,82.74,53.807,42.886,28.043,147.39,133.44,126.62,4.9558,46.463,151.1,51.857,146.56,18.421,43.249,41.304,8.9568,53.602,79.855,132.45,54.897,101.17,10.72,28.828,127.88,12.999,18.412,123.5,4.8968,20.867,3.837,14.896,130.87,143.43,6.9119,153.42,89.564,110.6,46.322,87.244
20,77.83,20.526,3.8665,22.52,28.237,38.189,10.209,40.437,15.606,21.294,35.069,82.267,46.771,27.608,21.003,112.99,102.06,81.393,3.7843,25.858,142.72,28.429,51.342,10.089,23.068,23.553,7.4761,44.114,21.566,113.15,34.864,81.237,21.425,17.653,98.892,5.7751,12.425,120.44,15.926,18.638,3.7637,7.7572,6.1977,127.31,2.7434,149.59,79.932,25.692,24.823,30.013
30,69.881,12.503,10.481,17.982,19.216,25.674,7.6579,33.893,19.519,16.979,24.993,58.901,49.593,26.876,16.745,67.147,51.856,22.123,8.786,19.417,136.65,10.519,21.783,1.0131,8.9454,24.277,6.5414,30.948,12.869,68.737,24.454,62.24,12.314,8.0876,87.278,7.9853,3.7793,110.8,10.76,15.369,0.26475,5.6606,9.063,65.4,7.2714,113.26,59.579,11.146,24.19,19.7
40,57.878,0.45799,9.2807,6.0219,14.586,15.532,9.6512,27.587,23.525,14.531,31.494,33.205,45.954,27.507,18.582,21.446,16.157,9.5957,6.1802,19.238,130.97,6.0779,16.269,0.36539,0.66868,22.611,14.737,28.953,6.6481,49.917,13.836,48.252,5.6302,7.1655,54.747,3.5186,1.5848,87.515,5.2436,14.671,3.5113,6.0283,9.076,26.795,6.2146,42.128,53.665,10.242,12.853,9.4389
50,54.929,6.0542,6.8657,7.5212,15.44,14.901,8.623,16.302,18.568,10.795,25.425,22.545,40.916,22.272,23.402,15.495,1.2839,10.562,1.0406,17.638,56.672,5.1785,8.4329,0.0079176,4.4703,25.518,12.786,26.288,4.0199,40.743,19.563,36.669,3.4769,0.7113,42.796,0.50706,3.6306,54.926,4.3787,14.002,3.1362,4.6746,16.516,13.628,4.5073,25.074,53.94,4.6493,7.011,3.0728
60,42.446,1.1966,3.7965,2.4928,11.039,16.014,9.9357,8.3274,15.374,3.9429,18.241,14.646,40.489,17.773,24.8,0.6574,2.6862,6.747,0.31084,12.48,0.16095,7.7613,11.753,1.8492,5.7769,24.6,8.4685,20.427,10.43,35.268,17.182,24.199,2.3271,1.8042,29.385,1.0498,2.6554,38.459,7.8527,8.3872,0.62894,4.7691,10.809,0.51612,1.3066,8.3796,49.016,3.9422,13.376,3.0933
70,47.087,2.5409,1.2418,1.5552,12.041,14.521,9.482,11.222,13.735,4.0085,16.989,14.56,34.835,16.326,27.384,25.922,6.5464,7.2045,1.7924,12.537,17.633,8.0278,13.06,1.0261,3.1067,15.541,9.7516,21.613,13.171,35.613,15.089,22.387,1.5966,9.0785,28.058,2.1059,2.7463,24.518,4.8572,6.2686,0.33682,6.4747,12.955,4.8977,6.4806,3.2583,45.053,0.67132,17.687,3.7539
80,41.556,1.4932,3.271,2.4355,7.8372,12.648,2.5065,16.094,19.013,4.4965,19.056,13.255,29.616,8.7119,24.794,20.227,0.24658,7.9117,1.7588,14.199,11.259,5.4374,7.1252,1.7622,1.4382,15.839,12.1,18.385,9.6067,21.742,11.856,19.65,2.2225,8.2513,23.264,2.1301,2.8699,26.01,7.9903,5.8653,4.4693,8.1911,18.56,4.424,9.6608,4.1622,40.359,4.3163,15.457,1.29
90,36.055,0.086732,3.5831,1.1223,9.4436,12.527,2.0386,18.243,15.346,4.0323,17.431,11.08,27.1,3.305,27.988,8.945,1.1748,13.974,1.3991,11.255,7.7562,7.9356,7.994,7.0458,0.94809,17.891,11.048,18.11,5.1562,12.379,15.146,16.581,4.7771,3.3183,22.709,8.0232,3.4299,24.841,5.2116,3.261,1.9615,6.6743,17.43,2.4045,9.519,7.5467,40.403,8.4261,10.296,0.02109
100,28.959,3.2085,3.9269,1.9476,9.4563,12.027,4.2223,13.796,14.81,9.1798,13.342,6.8147,27.062,4.3122,25.809,10.509,7.1119,17.982,0.29445,6.5672,4.9871,6.8327,6.2819,8.0031,0.5391,15.685,12.956,16.938,8.9883,5.3679,11.591,10.641,3.8034,0.20613,23.336,6.0507,4.5867,17.589,2.2702,6.5056,3.277,1.5365,7.895,6.4699,5.7876,17.633,38.934,14.489,7.3407,2.9519
110,24.141,3.1087,1.7696,0.37399,6.9494,13.159,2.9245,16.161,16.05,8.403,20.812,10.607,26.484,5.2063,23.339,13.446,5.1163,16.211,1.0195,5.024,7.6337,7.8986,7.4555,7.6341,1.5702,15.062,10.874,17.33,9.2395,3.8316,8.9691,12.285,0.54886,2.75,22.226,4.5504,5.6055,19.516,7.0139,5.9311,2.2174,1.514,13.597,8.999,6.9312,16.899,34.267,14.468,5.7517,4.2497
120,21.078,3.1848,0.12303,0.14133,8.1292,10.044,1.8319,19.955,11.335,9.9265,18.955,11.214,26.999,6.658,21.053,15.449,0.18015,8.678,6.2396,6.585,7.6383,5.2863,7.1164,6.5024,1.439,13.423,7.0359,15.312,12.138,1.1639,9.0538,14.339,1.2324,3.0968,22.641,3.2673,3.294,18.282,3.3025,6.2814,2.0828,2.7009,7.9872,2.7582,5.4787,15.689,32.522,15.487,0.45922,6.7199
130,27.741,0.78359,8.9003,5.159,11.998,11.045,2.6401,19.751,10.478,10.491,18.489,14.824,26.223,8.7757,19.606,19.191,3.4154,8.316,3.0775,6.3389,9.9799,3.9423,4.195,3.599,5.3642,11.624,6.8058,16.031,13.349,1.0743,9.9853,9.3621,2.9585,4.6852,17.449,5.1519,1.9311,16.41,4.4367,3.2608,1.5386,0.043069,4.6857,0.081376,8.6376,24.977,32.875,14.63,2.4347,3.0649
