0,119.49,22.632,154.16,33.947,60.281,77.289,10.768,94.463,131.22,43.732,164.72,130.41,66.117,48.209,57.764,167.84,136.71,163.08,36.385,40.875,154.21,100.22,172.47,8.6936,99.427,35.199,28.052,76.256,139.47,135.31,73.697,124.21,4.0061,131.19,146.81,6.3015,23.108,131.4,1.4873,34.307,41.748,51.374,148.41,152.08,144.34,165.28,99.996,152.77,95.291,141.23
10,134.7,148.02,155.86,52.004,90.405,83.496,1.4305,123.29,172.79,60.46,155.39,157.32,67.791,87.485,90.893,165.09,141.79,155.37,90.936,42.046,160.42,113.8,174.28,6.7494,122.79,58.053,73.059,82.529,140.49,133.34,88.689,131.02,12.058,151.25,147.03,9.4255,5.1541,135.77,179.61,37.127,147.61,108.81,158.54,159.46,115.35,166.63,104.61,163.14,127.52,148.2
20,147.36,149,141.52,63.1,102.63,76.816,6.3045,128.51,164.93,62.805,162.42,179.43,66.668,148.7,86.441,165.8,142.86,154.02,140.74,65.269,165.05,126.75,168.99,1.889,134.32,46.577,178.56,95.181,126.88,146.24,101.02,145.03,32.798,140.55,153.48,25.781,106,140.55,168.73,93.243,161.96,134.15,166.98,161.5,153.34,173.31,111.37,169.94,139.8,163.76
30,149.93,154.73,150.74,67.66,105.07,96.232,20.783,143.79,167.76,89.538,167.06,167.46,70.453,139.91,90.769,159.96,178.61,153.54,141.39,67.088,166.93,141.77,168.88,39.142,159.24,96.819,173.46,105.76,122.66,154.46,109.3,146.84,0.32415,146.53,156.57,29.202,158.85,138.96,164.94,113.18,155.31,126.64,166.47,158.38,159.77,175.83,109.16,158.02,149.64,152.33
40,150.67,139.9,147.84,60.802,101.35,123.14,23.333,139.07,160.52,138.17,162.7,173.27,71.725,166.55,94.177,162.49,170.42,154.35,155.95,83.121,161.88,138.65,167.1,104.9,168.68,95.161,165.57,113.93,137.76,143.15,111.91,144.08,109.1,141.37,160.74,35.798,137.79,144.82,171.12,78.014,123.65,137.07,175.87,166,153.53,174.66,119.19,165.23,142.07,167.3
50,150.73,154.93,149.79,46.248,101.22,123.21,81.923,148.93,164.13,131.83,175.13,178.63,73.769,154.6,87.013,156.68,154.01,157.68,176.03,96.814,154.18,132.14,174.01,129.7,175.57,95.408,152.14,114.88,141.84,138.13,127.64,152.85,102.86,142.81,158.07,39.854,114.04,146.96,176.24,83.806,144.3,143.13,172.71,173.08,161.38,167.18,120.9,159.33,162.91,173.11
60,151.77,151.87,158.51,38.861,108.9,118.63,162.01,147.83,170.82,137.06,173.02,171.88,76.162,160.29,88.597,161.68,155.25,164.57,177.36,109.05,150.4,136.52,174.26,129.32,167.79,109.85,155.03,121.29,142.7,133.09,127.69,150.3,176.23,136.73,168.37,46.91,79.551,150.54,161,77.471,135.43,146.43,173.04,172.57,153.87,169.17,117.69,157.37,156.9,168.71
70,149.94,156.33,157.7,40.451,109.18,117.4,126.29,168.5,158.76,132.75,178.83,174.24,81.355,159.34,89.678,154.89,152.54,170.51,177.56,107.4,157.81,123.3,177.47,122.08,165.01,97.605,158.04,124.47,126.9,144.64,134.27,147.92,173.48,141.02,166.15,50.051,76.429,151.93,176.73,72.831,120.64,152.95,169.29,178.93,153.07,171.16,118.52,149.35,161.05,167.85
80,153.32,151.11,154.4,40.65,104.23,105.03,149.55,164.62,162.02,157.75,175.03,164.5,78.655,159.11,99.717,161.98,157.3,164.97,172.84,106.15,157.36,152.56,178.55,114.11,165.34,86.564,156.72,130.12,147.35,143.16,122.56,150.55,177.65,141.35,167.35,75.739,76.093,150.77,169.46,93.144,134.49,155.4,173.38,171.26,138.45,171.1,118.28,149.85,165.41,171.5
90,145.6,150.14,156.39,50.097,100.66,86.048,156.71,151.6,153.82,160.29,178.25,166.81,81.682,165.21,100.77,155.99,164.88,172.26,177.05,103.5,157.4,163.4,177.94,127.58,166.44,87.218,159.48,130.72,146.33,134.62,116.74,145.58,157.47,136.24,167.86,68.071,42.743,150.93,179.6,99.171,160.32,159.89,169.31,171.64,146.27,165.48,122.93,147.28,153.76,168.71
