0,119.49,22.632,154.16,33.947,60.281,77.289,10.768,94.463,131.22,43.732,164.72,130.41,66.117,48.209,57.764,167.84,136.71,163.08,36.385,40.875,154.21,100.22,172.47,8.6936,99.427,35.199,28.052,76.256,139.47,135.31,73.697,124.21,4.0061,131.19,146.81,6.3015,23.108,131.4,1.4873,34.307,41.748,51.374,148.41,152.08,144.34,165.28,99.996,152.77,95.291,141.23
10,99.41,2.6418,75.677,39.147,45.548,70.342,7.5781,62.673,6.7271,28.21,135.5,150.15,52.167,63.412,38.482,169.87,107,144.89,17.368,30.274,156.02,54.507,141.06,3.9408,99.869,37.933,38.157,63.189,137.78,119.3,60.872,129.88,13.925,99.115,139.2,1.8608,6.5717,126.06,42.891,2.1223,19.116,4.3451,120.43,160.46,118.51,175.81,86.565,109.43,42.264,72.792
20,83.797,30.609,44.108,37.809,38.061,54.333,18.929,30.008,5.5107,7.0217,74.242,140.83,29.887,49.495,34.228,129.79,74.322,23.675,25.973,10.032,125.97,13.968,84.085,1.9744,39.687,36.377,36.603,60.677,46.303,103.3,48.348,117.82,14.557,74.664,125.06,3.7494,1.8779,128.96,48.749,15.325,23.375,13.918,107.13,157.71,68.843,158.86,75.76,67.583,36.256,7.1589
30,73.403,19.559,32.233,44.21,16.754,60.613,25.602,10.806,27.225,2.291,40.666,68.818,19.253,41.202,37.14,110.88,60.766,14.12,17.806,8.2533,139.41,0.59708,69.432,0.68311,16.301,30.723,30.594,55.631,20.031,77.642,44.129,103.36,15.183,63.845,104.18,5.0564,1.6625,111.01,38.916,11.168,24.865,16.105,38.534,156.72,49.527,133.79,68.026,52.616,35.643,7.6813
40,64.93,20.148,26.244,44.217,18.695,60.5,23.027,0.92953,31.741,5.94,37.563,39.467,10.213,38.439,32.463,90.354,57.271,15.905,17.282,14.113,169.26,14.962,59.298,2.7965,29.456,34.428,27.205,42,4.234,80.574,46.971,81.024,22.61,53.077,95.049,9.9927,9.6071,36.935,31.327,13.153,28.569,29.16,37.496,72.157,36.285,96.781,58.186,54.201,38.853,17.035
50,64.407,27.313,25.127,42.171,8.4065,61.007,26.971,5.9527,29.177,8.2557,37.219,16.835,1.9401,36.794,29.723,68.043,54.796,16.802,20.249,10.318,29.757,17.501,49.494,6.0725,33.346,35.943,30.557,42.785,29.376,72.63,46.282,7.9462,23.865,50.408,78.338,9.63,10.641,7.1538,32.556,4.6851,33.903,29.337,38.099,63.064,32.082,79.833,54.211,53.465,36.57,19.835
60,59.912,26.053,18.229,39.126,5.281,57.419,24.582,3.9137,27.634,8.6181,39.073,14.431,4.7811,37.401,29.035,60.713,44.749,17.836,21.252,12.372,43.778,19.566,48.379,11.429,33.942,39.263,34.322,43.259,25.11,57.717,41.256,4.0254,20.525,46.984,52.912,12.168,14.239,8.2493,28.264,0.038577,35.574,26.149,33.289,71.109,26.602,55.698,39.937,52.403,30.432,26.37
70,64.844,30.543,24.362,39.05,2.1875,54.165,27.299,5.8248,26.873,8.9364,43.514,9.2833,4.3649,35.025,25.837,60.066,42.687,20.124,20.456,14.355,30.988,17.795,33.647,10.214,39.019,34.135,27.484,45.187,31.938,64.391,44.358,0.07364,23.463,38.482,50.415,12.273,17.703,18.666,25.44,2.5471,33.255,21.66,26.772,79.113,28.244,49.505,32.535,51.702,30.558,13.664
80,60.132,31.704,28.643,39.25,2.0193,50.407,23.576,9.3173,34.225,5.0799,33.622,11.977,1.2563,31.555,26.683,50.017,38.582,21.473,20.501,19.025,21.482,21.171,26.749,8.0099,31.465,38.767,25.436,45.441,28.124,60.424,44.244,8.1246,26.114,32.898,45.644,17.078,18.607,12.552,26.437,6.0697,34.813,26.838,21.771,70.904,19.586,45.529,25.697,46.499,24.787,13.855
90,58.89,30.943,28.874,42.382,8.341,47.042,19.866,11.441,32.595,0.26581,36.587,22.663,4.5591,24.924,24.899,49.118,36.722,21.288,23.354,23.884,31.612,17.302,38.175,12.042,25.006,42.103,23.076,44.466,31.609,54.35,42.172,21.139,25.361,34.074,43.383,16.832,19.817,9.8017,30.133,9.403,34.421,24.141,19.735,61.651,15.044,48.507,6.2534,44.107,26.69,13.898
100,58.159,29.646,25.682,46.571,6.8921,45.296,19.735,8.8683,36.971,5.1577,44.877,28.227,6.0283,23.364,23.923,42.902,39.933,23.765,28.658,30.45,31.067,19.395,34.662,15.767,22.498,40.924,16.339,43.472,30.411,53.446,43.332,22.438,25.847,26.333,36.198,20.044,22.165,11.718,23.664,7.4875,33.317,27.878,19.381,57.587,18.298,46.485,9.422,44.304,28.034,14.664
110,52.806,29.022,26.221,43.349,12.617,45.958,20.246,10.028,36.101,9.5014,40.866,25.963,10.498,24.441,27.16,38.641,43.274,22.61,23.764,24.871,29.031,21.461,38.615,16.582,23.122,38.67,13.667,45.248,28.691,46.81,42.048,21.438,25.511,30.392,31.071,19.271,26.574,10.747,19.618,11.45,26.948,23.133,29.457,61.302,19.527,38.273,11.315,48.885,26.199,15.798
120,53.286,24.734,24.766,42.191,11.251,41.516,18.078,13.354,33.806,6.0972,42.567,23.302,9.4866,25.371,30.623,30.704,39.249,21.582,20.902,24.694,22.633,23.839,36.261,16.084,25.684,32.628,18.576,41.735,28.454,41.286,45.005,19.61,28.195,32.672,31.951,21.233,24.775,12.995,27.604,11.742,27.654,21.676,29.172,62.907,20.238,34.587,3.4927,47.027,22.291,18.349
130,58.333,23.777,24.161,41.133,8.2417,37.802,16.369,13.449,32.617,0.53762,39.562,28.062,12.066,20.844,31.061,36.838,41.597,23.378,22.382,25.297,12.064,26.199,32.572,16.431,24.564,28.997,22.445,45.371,23.227,40.549,44.439,14.094,25.316,24.421,26.554,22.774,28.973,6.0473,25.762,6.6413,26.447,20.924,24.724,52.768,20.366,34.185,5.9618,45.751,34.083,19.902
140,61.817,23.658,24.9,39.42,7.6294,35.707,16.238,11.45,29.949,0.39979,40.773,18.311,12.287,23.331,26.481,36.41,37.647,20.79,17.379,24.503,9.5534,28.425,35.56,18.875,28.01,26.968,22.803,40.717,26.437,39.521,44.324,8.0085,26.246,26.616,28.787,22.012,27.037,13.611,27.419,5.1442,26.136,21.637,26.66,43.018,20.602,34.433,1.9953,48.219,38.161,16.524
150,59.046,24.267,19.854,39.162,3.5732,31.928,15.418,16.346,30.38,1.6793,44.538,23.531,18.532,21.587,25.117,37.321,40.405,19.275,17.504,22.761,6.5462,29.129,36.226,18.617,28.826,26.062,15.599,38.607,25.494,32.955,42.19,5.732,24.099,27.469,28.268,24.407,25.09,14.418,23.671,4.263,24.21,20.485,23.534,41.239,15.698,35.103,6.8146,45.804,34.473,18.15
160,56.504,25.625,19.839,40.118,5.6141,32.971,14.463,11.758,32.632,0.74362,39.473,23.646,22.484,20.611,24.361,35.923,39.488,21.975,17.095,23.671,4.1704,27.815,34.894,18.169,40.416,23.921,21.74,37.669,28.322,34.535,42.607,7.9475,25.719,27.179,27.747,24.327,22.153,17.827,25.349,11.631,25.609,21.524,31.933,33.73,15.713,34.879,13.276,45.607,33.466,18.006
