0,119.49,22.632,154.16,33.947,60.281,77.289,10.768,94.463,131.22,43.732,164.72,130.41,66.117,48.209,57.764,167.84,136.71,163.08,36.385,40.875,154.21,100.22,172.47,8.6936,99.427,35.199,28.052,76.256,139.47,135.31,73.697,124.21,4.0061,131.19,146.81,6.3015,23.108,131.4,1.4873,34.307,41.748,51.374,148.41,152.08,144.34,165.28,99.996,152.77,95.291,141.23
10,127.59,26.908,178.55,31.912,59.83,82.146,9.1568,70.786,124.37,41.184,157.37,150.81,66.588,73.48,74.755,164.57,128.26,177.51,0.1891,51.567,150.28,85.474,153.63,1.9824,134.7,53.826,49.915,62.161,136.6,130.49,78.336,128.66,10.346,140.13,142.96,5.133,35.799,127,41.544,1.6099,86.558,35.639,154.39,161.26,123.63,164.24,100.26,133.88,110.19,140.87
20,125.75,35.052,130.87,30.742,58.023,86.921,3.3045,65.968,146.96,39.884,156.13,148.19,68.887,70.039,78.222,145.91,120.25,160.83,49.03,56.278,153.89,78.195,161.17,13.434,177.81,45.791,118.15,51.238,127.35,129.19,72.583,132.69,16.425,151.9,140.18,3.156,61.998,126.63,73.449,13.69,67.53,39.328,170.95,138.1,130.92,165.18,97.752,137.55,96.215,145.14
30,126.98,29.841,94.023,21.608,53.755,95.933,0.32455,47.745,3.3239,31.292,136.36,128.17,66.641,71.448,63.444,145.15,122.37,152.22,58.115,64.632,154.91,75.065,168.06,39.349,150.57,59.163,162.11,51.548,101.91,124.75,53.616,127.6,4.6646,119.28,143.79,5.4815,78.509,125.16,77.589,9.09,42.069,65.578,165.23,136.74,140.38,175.12,103.37,130.01,77.56,124.15
40,126.58,7.1301,96.307,25.667,50.752,101.67,1.7431,34.53,28.471,27.618,148.86,125.59,60.905,55.66,57.929,129.07,125.75,138,55.032,71.047,158.4,86.708,154.99,34.708,139.42,67.216,131.84,70.974,150.11,117.05,52.481,131.59,7.0791,109.98,136.54,0.82847,63.678,122.03,51.655,157.62,23.648,74.706,165.16,143.67,133.1,168.66,98.769,125.1,78.676,114.65
50,132.36,11.973,166.41,10.941,49.735,115.59,1.673,34.892,19.747,32.829,150.64,126.69,57.788,93.965,71.203,133.07,130.26,160.42,55.521,46.146,149.99,80.054,168.43,31.956,145.24,78.135,106.22,86.689,144.85,132.11,59.822,130.86,31.459,106.21,117.3,4.1404,71.667,121.35,66.262,137.77,77.657,84.774,145.74,137.58,128.3,165.85,104.17,138.05,97.348,100.44
60,128.13,25.813,162.47,34.822,47.805,140.52,6.5364,59.015,32.815,45.085,169.67,122.97,60.929,115.63,76.098,124.3,129.82,177.39,52.484,49.018,151.84,91.712,171.13,37.952,142.62,63.982,85.608,126.08,156.35,136.99,49.64,128.11,27.537,128.75,115.81,4.4805,79.516,119.15,90.503,171.02,144.87,92.017,158.48,151.05,169.69,165.99,106.39,164.11,108.43,123.18
70,137.53,27.68,164.73,34.015,56.726,137.91,6.6525,85.868,21.696,39.648,135.08,116.19,64.837,83.131,82.867,137.24,148.89,158.42,48.813,26.569,148.04,94.283,151.49,35.519,139.57,65.722,90.503,137.05,172.2,143.18,40.386,132.13,33.104,162.98,113.45,3.5783,81.302,125.26,72.151,146.38,175.73,170.72,167.78,176.61,165.29,169.68,105.37,161.06,94.949,124.99
80,129.18,44.712,154.63,29.763,55.139,162.75,3.7267,102.91,12.88,45.083,164.81,120.68,67.517,12.022,99.783,124.64,167.85,155.63,49.025,11.23,139.35,97.908,147.6,41.992,149.13,54.456,73.3,146,174.92,145.82,54.476,119.81,42.883,172.11,114.9,6.259,83.946,124.97,62.554,139.68,169.8,105.72,167.79,166.98,162.62,178.49,106.46,147.46,80.104,128.07
90,131.24,25.165,139.57,44.017,56.284,157.58,5.6073,164.9,13.302,50.851,167.23,119.09,75.958,13.988,100.45,121.72,160.75,165.39,58.37,25.637,138.23,98.83,142.76,38.351,174.79,34.656,33.394,133.58,155.07,141.47,79.741,110.18,42.247,161.41,119.15,3.0723,93.005,120.39,61.887,156.38,163.94,134.37,143.96,160.49,162.93,172.5,106.03,167.59,86.047,127.79
